customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,OnlineSecurity,TechSupport,StreamingTV,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1663-HAID,Male,0,Yes,No,63,Yes,Fiber optic,No,Yes,No,One year,Yes,Electronic check,71.29,4212.59,No
3197-GIJC,Female,0,Yes,No,15,No,Fiber optic,No,No,No,Month-to-month,No,Credit card (automatic),62.58,965.96,Yes
8486-CEHG,Female,0,No,Yes,57,No,DSL,No,No,No internet service,Month-to-month,Yes,Electronic check,41.92,2278.98,Yes
4489-JFDF,Male,0,Yes,No,27,Yes,DSL,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,67.75,1845.83,No
1413-JJIH,Male,0,No,Yes,7,Yes,DSL,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),39.24,263.14,No
3303-IBEA,Female,0,No,No,35,Yes,Fiber optic,Yes,Yes,No,One year,No,Bank transfer (automatic),57.48,1985.12,No
7749-EAJC,Male,0,No,No,34,Yes,Fiber optic,No,No,Yes,Month-to-month,No,Electronic check,48.09,1626.36,No
6130-JEHG,Female,0,Yes,No,36,Yes,Fiber optic,No,No internet service,Yes,Two year,No,Bank transfer (automatic),66.96,2253.26,No
3911-EGFJ,Male,0,Yes,No,62,Yes,Fiber optic,No,No,Yes,One year,Yes,Bank transfer (automatic),54.52,3193.58,No
7228-DIJE,Male,0,No,Yes,20,Yes,DSL,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),76.37,1434.12,Yes
6982-DAJF,Female,0,No,No,46,Yes,No,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),18.0,799.41,No
8804-DIDB,Female,0,No,Yes,14,Yes,DSL,Yes,Yes,No internet service,Two year,Yes,Electronic check,40.77,517.86,No
9946-IDFA,Female,0,Yes,Yes,64,Yes,Fiber optic,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),96.07,6448.33,No
2515-DJIA,Female,0,Yes,Yes,33,Yes,Fiber optic,No,No,No,Month-to-month,No,Mailed check,82.95,2582.79,Yes
5344-DBII,Female,0,Yes,No,58,Yes,Fiber optic,No internet service,Yes,No internet service,Month-to-month,Yes,Mailed check,48.07,2691.74,No
9513-HJAD,Female,0,No,No,19,No,Fiber optic,No,No,No,Month-to-month,Yes,Electronic check,70.13,1254.0,Yes
9431-GECJ,Female,0,Yes,No,22,Yes,No,No internet service,No,No internet service,Two year,No,Bank transfer (automatic),22.84,481.67,No
7653-HGDH,Male,0,No,No,71,Yes,Fiber optic,No internet service,Yes,Yes,Two year,Yes,Electronic check,58.16,4277.17,No
3953-GJBJ,Female,1,Yes,No,14,No,No,No,Yes,No,Two year,Yes,Mailed check,27.36,384.64,No
1999-AEHI,Male,0,Yes,No,40,Yes,DSL,No,No,No,One year,Yes,Electronic check,32.89,1282.3,No
5068-BJFC,Female,1,No,No,23,Yes,Fiber optic,No,No,No internet service,One year,Yes,Bank transfer (automatic),49.45,1140.08,No
6233-CCGC,Male,0,No,No,28,Yes,DSL,No,No internet service,Yes,Month-to-month,Yes,Electronic check,61.35,1673.85,Yes
8168-HFJH,Male,0,No,No,50,No,Fiber optic,Yes,No internet service,No,Two year,No,Bank transfer (automatic),76.78,3572.88,No
8352-GHEF,Female,0,Yes,No,57,Yes,Fiber optic,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic),92.01,4952.32,No
4840-AHFC,Female,0,No,Yes,35,Yes,Fiber optic,No,No,Yes,Month-to-month,No,Mailed check,68.62,2337.47,Yes
7445-DCFC,Female,1,Yes,No,46,Yes,Fiber optic,No,No internet service,No,Two year,No,Credit card (automatic),88.61,4119.05,No
